211, 174, 159, 158
212, 158,  58,  59
213, 196, 160, 159
214, 159,  58, 158
215, 160,  56,  57
216, 160,  57, 159
217, 161,  56, 160
218, 161, 143, 144
219, 162,  76,  77
220, 162,  77, 145
221, 163,  75,  76
222, 163,  76, 162
223, 164,  74,  75
224, 164,  75, 163
225, 165,  73,  74
226, 165,  74, 164
227, 166,  72,  73
228, 166,  73, 165
229, 167,  71,  72
230, 167,  72, 166
231, 168, 150,  70
232, 168,  71, 167
233, 169,  68,  69
234, 169,  69, 150
235, 198, 185, 184
236, 170, 149,  67
237, 171,  87,  88
238, 192, 171,  88
239, 172,  86,  87
240, 172,  87, 171
241, 173,  85,  86
242, 173,  86, 172
243, 174, 106, 107
244, 196, 107, 141
245, 175, 158, 157
246, 175, 105, 106
247, 176, 104, 105
248, 176, 105, 175
249, 177, 103, 104
250, 177, 104, 176
251, 178, 102, 103
252, 178, 103, 177
253, 179, 101, 102
254, 179, 102, 178
255, 180, 100, 101
256, 180, 101, 179
257, 181, 152, 151
258, 181,  99, 100
259, 197, 195, 194
260, 182,  98,  99
261, 199, 184, 183
262, 183,  98, 182
263, 184,  96,  97
264, 184,  97, 183
265, 185,  95,  96
266, 185,  96, 184
267, 186,  94,  95
268, 186,  95, 185
269, 187,  93,  94
270, 187,  94, 186
271, 188,  92,  93
272, 188,  93, 187
273, 189,  91,  92
274, 189,  92, 188
275, 190,  90,  91
276, 190,  91, 189
277, 191,  89,  90
278, 191,  90, 190
279, 192,  88,  89
280, 192,  89, 191
281, 193, 140,   8
282, 199, 193, 149
283, 197, 183, 182
284, 194, 148, 140
285, 195, 151,  66
286, 195, 148, 194
287, 196, 141, 160
288, 196, 159, 174
289, 199, 197, 194
290, 197, 182, 151
291, 198, 149, 170
292, 198, 170, 185
293, 199, 149, 198
294, 199, 183, 197
